Month,Duration of job search,State and territory (STT): ASGS (2011),Unemployed total ('000)
Jul-1991,52 weeks and under 104 weeks (1-2 years),Queensland,14.09410695
Jul-1991,52 weeks and under 104 weeks (1-2 years),South Australia,10.65333012
Jul-1991,52 weeks and under 104 weeks (1-2 years),Western Australia,10.31463028
Jul-1991,52 weeks and under 104 weeks (1-2 years),Tasmania,3.41312183
Jul-1991,52 weeks and under 104 weeks (1-2 years),Northern Territory,1.05288605
Jul-1991,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,1.36714523
Jul-1991,104 weeks and over (2 years and over),New South Wales,26.57373672
Jul-1991,104 weeks and over (2 years and over),Victoria,16.04688974
Jul-1991,104 weeks and over (2 years and over),Queensland,12.24445553
Jul-1991,104 weeks and over (2 years and over),South Australia,9.01207948
Jul-1991,104 weeks and over (2 years and over),Western Australia,5.24096662
Jul-1991,104 weeks and over (2 years and over),Tasmania,2.80197737
Jul-1991,104 weeks and over (2 years and over),Northern Territory,0.97015788
Jul-1991,104 weeks and over (2 years and over),Australian Capital Territory,1.07532927
Aug-1991,Under 4 weeks (under 1 month),New South Wales,38.10871957
Aug-1991,Under 4 weeks (under 1 month),Victoria,26.4569128
Aug-1991,Under 4 weeks (under 1 month),Queensland,22.30303582
Aug-1991,Under 4 weeks (under 1 month),South Australia,9.85395748
Aug-1991,Under 4 weeks (under 1 month),Western Australia,11.60098519
Aug-1991,Under 4 weeks (under 1 month),Tasmania,2.95986458
Aug-1991,Under 4 weeks (under 1 month),Northern Territory,1.4517212
Aug-1991,Under 4 weeks (under 1 month),Australian Capital Territory,0.93084753
Aug-1991,4 weeks and under 13 weeks (1-3 months),New South Wales,60.24635569
Aug-1991,4 weeks and under 13 weeks (1-3 months),Victoria,40.1924835
Aug-1991,4 weeks and under 13 weeks (1-3 months),Queensland,30.82956486
Aug-1991,4 weeks and under 13 weeks (1-3 months),South Australia,14.577737
Aug-1991,4 weeks and under 13 weeks (1-3 months),Western Australia,20.75730859
Aug-1991,4 weeks and under 13 weeks (1-3 months),Tasmania,5.60314182
Aug-1991,4 weeks and under 13 weeks (1-3 months),Northern Territory,1.90967237
Aug-1991,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,2.76161391
Aug-1991,13 weeks and under 26 weeks (3-6 months),New South Wales,38.24364956
Aug-1991,13 weeks and under 26 weeks (3-6 months),Victoria,39.17784683
Aug-1991,13 weeks and under 26 weeks (3-6 months),Queensland,20.60763826
Aug-1991,13 weeks and under 26 weeks (3-6 months),South Australia,10.50981418
Aug-1991,13 weeks and under 26 weeks (3-6 months),Western Australia,14.73176796
Aug-1991,13 weeks and under 26 weeks (3-6 months),Tasmania,4.02515682
Aug-1991,13 weeks and under 26 weeks (3-6 months),Northern Territory,0.61727779
Aug-1991,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,1.18007735
Aug-1991,26 weeks and under 52 weeks (6-12 months),New South Wales,56.97996266
Aug-1991,26 weeks and under 52 weeks (6-12 months),Victoria,56.48204239
Aug-1991,26 weeks and under 52 weeks (6-12 months),Queensland,31.30929472
Aug-1991,26 weeks and under 52 weeks (6-12 months),South Australia,16.08759507
Aug-1991,26 weeks and under 52 weeks (6-12 months),Western Australia,22.11965244
Aug-1991,26 weeks and under 52 weeks (6-12 months),Tasmania,4.73208291
Aug-1991,26 weeks and under 52 weeks (6-12 months),Northern Territory,1.72108436
Aug-1991,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,2.47830008
Aug-1991,52 weeks and under 104 weeks (1-2 years),New South Wales,35.96545088
Aug-1991,52 weeks and under 104 weeks (1-2 years),Victoria,34.1826369
Aug-1991,52 weeks and under 104 weeks (1-2 years),Queensland,15.6161556
